Dis_r       Dis_i      Devide_Dis        F_r      F_i      D_f       fit_norm		Cr         Fw         Fa			
13.21		18.5841       0.584514       5.94316e+06        8.43123e+06        2.48806e+06         0.422757			0.956932          0.450518            0.477973
3.08557		13.7356       0.816566       4.65966e+06        4.29567e+06        -363983         4.19461			0.960114          0.450518            0.513704
4.5174		20.7207       0.821009       4.79119e+06        8.17751e+06        3.38632e+06         0.121707			0.9          0.450518            0.977805
17.1464		26.1927       0.604367       4.40138e+06        5.53317e+06        1.13179e+06         0.296485			0.952962          0.450518            0.496468
31.4478		13.5964       0.301846       7.47396e+06        4.80986e+06        -2.66411e+06         7.52196			0.954824          0.450518            0.54135
27.1073		6.30518       0.188707       6.30228e+06        5.27212e+06        -1.03016e+06         1.97523			0.954824          0.450518            0.782112
36.738		16.6283       0.311588       4.43312e+06        7.50454e+06        3.07143e+06         -0.0975532			0.960114          0.450518            0.321203
25.2905		12.6262       0.332999       4.9341e+06        7.00819e+06        2.07409e+06         0.0605724			0.9          0.450518            1
7.06377		21.4684       0.752428       4.78613e+06        7.57601e+06        2.78988e+06         -0.0560121			0.956932          0.450518            0.583451
4.93383		38.8259       0.887252       7.25125e+06        7.11669e+06        -134562         1.05477			0.954824          0.450518            0.473526
47.6133		37.9471       0.443513       5.88472e+06        7.77197e+06        1.88725e+06         0.387216			0.954824          0.450518            0.147967
21.4897		18.8142       0.466809       6.11782e+06        8.38571e+06        2.26789e+06         0.451656			0.954824          0.450518            0.654719
41.3655		4.10729       0.0903241       5.42449e+06        5.04272e+06        -381767         2.67108			0.952962          0.450518            0.335711
10.5		8.13488       0.43654       4.69467e+06        6.61179e+06        1.91712e+06         0.206403			0.952962          0.450518            0.461403
16.2333		35.0191       0.683267       5.90628e+06        7.02426e+06        1.11798e+06         0.582045			0.960114          0.450518            0.534688
29.4731		71.173       0.707161       5.41893e+06        3.64755e+06        -1.77138e+06         -3.29074			0.9          0.450518            0.768311
6.43355		14.1384       0.687266       5.97976e+06        5.43249e+06        -547277         1.85339			0.9          0.450518            0.461193
